Snyder samples	ENTEx
	Peyer's patch
adrenal gland	adrenal gland
aorta	ascending aorta
	thoracic aorta
bile duct	
	breast epithelium
cardiac septum	
colonic mucosa	
	coronary artery
	epithelium of mammary gland
	esophagogastric junction
esophagus mucosa	esophagus mucosa
	esophagus muscularis mucosa
	esophagus squamous epithelium
fallopian tube	
	gastrocnemius medialis
	gastroesophageal sphincter
heart left ventricle	heart left ventricle
heart right ventricle	
	ileum
jejunum	
kidney	renal cortex interstitium
left cardiac atrium	right cardiac atrium
left colon	sigmoid colon
	transverse colon
left lung	upper lobe of left lung
lower lobe of left lung	
lung	
liver	right lobe of liver
right lobe of liver	
	mammary gland
	muscle layer of esophagus
mesenteric fat pad	omental fat pad
peritoneum	omentum
mucosa of gallbladder	
mucosa of urinary bladder	
ovary	ovary
pancreas	pancreas
	body of pancreas
posterior vena cava	
	prostate
	prostate gland
psoas muscle	
right cardiac atrium	right atrium auricular region
sciatic nerve	
	skeletal muscle tissue
skin of body	skin of body
	lower leg skin
spleen	spleen
	stomach
subcutaneous adipose tissue	subcutaneous adipose tissue
	suprapubic skin
	testis
	thyroid gland
	tibial artery
	tibial nerve
ureter	
uterus	uterus
	vagina
